"Désignation";"Unité";"Quantité";"ids"
"Fourniture et pose de câble de 12 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 24 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 36 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 48 FO en conduite";"ml";"2215.84";"363,711,695,698,702,704,696,723,721"
"Fourniture et pose de câble de 72 FO en conduite";"ml";"1.63";"414"
"Fourniture et pose de câble de 96 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 144 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 288 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 432 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 576 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 720 FO en conduite";"ml";"0";NULL
"BPE facade";NULL;NULL;NULL
"F&P BPE 12 FO en façade (sans épissures)";"u";"0";NULL
"F&P BPE 24 FO en façade (sans épissures)";"u";"0";NULL
"F&P BPE 36 FO en façade (sans épissures)";"u";"0";NULL
"F&P BPE 48 FO en façade (sans épissures)";"u";"0";NULL
"F&P BPE 72 FO en façade (sans épissures)";"u";"0";NULL
"F&P BPE 96 FO en façade (sans épissures)";"u";"0";NULL
"F&P BPE 144 FO en façade (sans épissures)";"u";"0";NULL
"BPE aérien";NULL;NULL;NULL
"F&P BPE 12 FO en aérien (sans épissures)";"u";"2";"26309,26310"
"F&P BPE 24 FO en aérien (sans épissures)";"u";"4";"26308,26313,26317,26318"
"F&P BPE 36 FO en aérien (sans épissures)";"u";"2";"26311,26312"
"F&P BPE 48 FO en aérien (sans épissures)";"u";"3";"26314,26326,34913"
"F&P BPE 72 FO en aérien (sans épissures)";"u";"3";"26319,26320,26321"
"F&P BPE 96 FO en aérien (sans épissures)";"u";"0";NULL
"F&P BPE 144FO en aérien (sans épissures)";"u";"0";NULL
"BPE Immeuble";NULL;NULL;NULL
"F&P BPE 12 FO en immeuble (sans épissures)";"u";"0";NULL
"F&P BPE 24 FO en immeuble (sans épissures)";"u";"0";NULL
"F&P BPE 36 FO en immeuble (sans épissures)";"u";"0";NULL
"F&P BPE 48 FO en immeuble (sans épissures)";"u";"0";NULL
"F&P BPE 72 FO en immeuble (sans épissures)";"u";"0";NULL
"F&P BPE 96 FO en immeuble (sans épissures)";"u";"0";NULL
"F&P BPE 144 FO en immeuble (sans épissures)";"u";"0";NULL
"BPE sout";NULL;NULL;NULL
"F&P BPE 12 FO en conduite (sans épissures)";"u";"0";NULL
"F&P BPE 24 FO en conduite (sans épissures)";"u";"0";NULL
"F&P BPE 36 FO en conduite (sans épissures)";"u";"0";NULL
"F&P BPE 48 FO en conduite (sans épissures)";"u";"2";"34914,34915"
"F&P BPE 72 FO en conduite (sans épissures)";"u";"0";NULL
"F&P BPE 96 FO en conduite (sans épissures)";"u";"0";NULL
"F&P BPE 144 FO en conduite (sans épissures)";"u";"0";NULL
"F&P BPE 288 FO en conduite (sans épissures)";"u";"0";NULL
"F&P BPE 432 FO en conduite (sans épissures)";"u";"0";NULL
"F&P BPE 576 FO en conduite (sans épissures)";"u";"0";NULL
"F&P BPE 720 FO en conduite (sans épissures)";"u";"2";"34916,34917"
"PA aérien";NULL;NULL;NULL
"F&P PA 12 FO en aérien (sans épissures)";"u";"0";NULL
"F&P PA 24 FO en aérien (sans épissures)";"u";"0";NULL
"F&P PA 36 FO en aérien (sans épissures)";"u";"0";NULL
"F&P PA 48 FO en aérien (sans épissures)";"u";"0";NULL
"F&P PA 72 FO en aérien (sans épissures)";"u";"0";NULL
"F&P PA 96 FO en aérien (sans épissures)";"u";"0";NULL
"F&P PA 144 FO en aérien (sans épissures)";"u";"0";NULL
"PA souterrain";NULL;NULL;NULL
"F&P PA 12 FO en conduite (sans épissures)";"u";"0";NULL
"F&P PA 24 FO en conduite (sans épissures)";"u";"0";NULL
"F&P PA 36 FO en conduite (sans épissures)";"u";"0";NULL
"F&P PA 48 FO en conduite (sans épissures)";"u";"0";NULL
"F&P PA 72 FO en conduite (sans épissures)";"u";"1";"26553"
"F&P PA 96 FO en conduite (sans épissures)";"u";"0";NULL
"F&P PA 144 FO en conduite (sans épissures)";"u";"2";"26554,26555"
"F&P PA 288 FO en conduite (sans épissures)";"u";"0";NULL
"F&P PA 432 FO en conduite (sans épissures)";"u";"0";NULL
"F&P PA 576 FO en conduite (sans épissures)";"u";"0";NULL
"F&P PA 720 FO en conduite (sans épissures)";"u";"0";NULL
"PBO";NULL;NULL;NULL
"F&P de PBO en chambre (yc prépa câble)";"u";"0";NULL
"F&P de PBO aérien/ façade (yc prépa câble)";"u";"31";"26387,26388,26490,26491,26492,26493,26497,26503,26505,26506,26507,26508,26509,26496,26498,26499,26500,26389,26494,26495,26513,26510,26511,26514,26515,26530,26531,26385,26386,26390,26512"
"F&P de PBO immeuble (yc prépa câble)";"u";"0";NULL
